Date,USD,CAD
01/10/2020,1,1.352
02/10/2020,1,1.353
03/10/2020,1,1.353
04/10/2020,1,1.353
05/10/2020,1,1.353
06/10/2020,1,1.353
07/10/2020,1,1.353
08/10/2020,1,1.354
09/10/2020,1,1.354
10/10/2020,1,1.354
11/10/2020,1,1.354
12/10/2020,1,1.354
13/10/2020,1,1.354
14/10/2020,1,1.354
15/10/2020,1,1.355
16/10/2020,1,1.355
17/10/2020,1,1.355
18/10/2020,1,1.355
19/10/2020,1,1.355
20/10/2020,1,1.355
21/10/2020,1,1.356
22/10/2020,1,1.356
23/10/2020,1,1.356
24/10/2020,1,1.356
25/10/2020,1,1.356
26/10/2020,1,1.356
27/10/2020,1,1.357
28/10/2020,1,1.357
29/10/2020,1,1.357
30/10/2020,1,1.357
31/10/2020,1,1.357
01/11/2020,1,1.357
02/11/2020,1,1.357
03/11/2020,1,1.358
04/11/2020,1,1.358
05/11/2020,1,1.358
06/11/2020,1,1.358
07/11/2020,1,1.358
08/11/2020,1,1.358
09/11/2020,1,1.359
10/11/2020,1,1.359
11/11/2020,1,1.359
12/11/2020,1,1.359
13/11/2020,1,1.359
14/11/2020,1,1.359
15/11/2020,1,1.359
16/11/2020,1,1.36
17/11/2020,1,1.36
18/11/2020,1,1.36
19/11/2020,1,1.36
20/11/2020,1,1.36
21/11/2020,1,1.36
22/11/2020,1,1.361
23/11/2020,1,1.361
24/11/2020,1,1.361
25/11/2020,1,1.361
26/11/2020,1,1.361
27/11/2020,1,1.361
28/11/2020,1,1.362
29/11/2020,1,1.362
30/11/2020,1,1.362
01/12/2020,1,1.362
02/12/2020,1,1.362
03/12/2020,1,1.362
04/12/2020,1,1.362
05/12/2020,1,1.363
06/12/2020,1,1.363
07/12/2020,1,1.363
08/12/2020,1,1.363
09/12/2020,1,1.363
10/12/2020,1,1.363
11/12/2020,1,1.364
12/12/2020,1,1.364
13/12/2020,1,1.364
14/12/2020,1,1.364
15/12/2020,1,1.364
16/12/2020,1,1.364
17/12/2020,1,1.365
18/12/2020,1,1.365
19/12/2020,1,1.365
20/12/2020,1,1.365
21/12/2020,1,1.365
22/12/2020,1,1.365
23/12/2020,1,1.365
24/12/2020,1,1.366
25/12/2020,1,1.366
26/12/2020,1,1.366
27/12/2020,1,1.366
28/12/2020,1,1.366
29/12/2020,1,1.366
30/12/2020,1,1.367
31/12/2020,1,1.367
01/01/2021,1,1.297
02/01/2021,1,1.298
03/01/2021,1,1.299
04/01/2021,1,1.298
05/01/2021,1,1.299
06/01/2021,1,1.297
07/01/2021,1,1.299
08/01/2021,1,1.304
09/01/2021,1,1.302
10/01/2021,1,1.302
11/01/2021,1,1.303
12/01/2021,1,1.303
13/01/2021,1,1.304
14/01/2021,1,1.305
15/01/2021,1,1.305
16/01/2021,1,1.306
17/01/2021,1,1.306
18/01/2021,1,1.307
19/01/2021,1,1.308
20/01/2021,1,1.308
21/01/2021,1,1.309
22/01/2021,1,1.31
23/01/2021,1,1.31
24/01/2021,1,1.311
25/01/2021,1,1.311
26/01/2021,1,1.312
27/01/2021,1,1.313
28/01/2021,1,1.313
29/01/2021,1,1.314
30/01/2021,1,1.314
31/01/2021,1,1.315
01/02/2021,1,1.316
02/02/2021,1,1.316
03/02/2021,1,1.317
04/02/2021,1,1.317
05/02/2021,1,1.318
06/02/2021,1,1.319
07/02/2021,1,1.319
08/02/2021,1,1.32
09/02/2021,1,1.32
10/02/2021,1,1.321
11/02/2021,1,1.322
12/02/2021,1,1.322
13/02/2021,1,1.323
14/02/2021,1,1.323
15/02/2021,1,1.324
16/02/2021,1,1.325
17/02/2021,1,1.325
18/02/2021,1,1.326
19/02/2021,1,1.327
20/02/2021,1,1.327
21/02/2021,1,1.328
22/02/2021,1,1.328
23/02/2021,1,1.329
24/02/2021,1,1.33
25/02/2021,1,1.33
26/02/2021,1,1.331
27/02/2021,1,1.331
28/02/2021,1,1.332
01/03/2021,1,1.333
02/03/2021,1,1.333
03/03/2021,1,1.334
04/03/2021,1,1.334
05/03/2021,1,1.335
06/03/2021,1,1.336
07/03/2021,1,1.336
08/03/2021,1,1.337
09/03/2021,1,1.337
10/03/2021,1,1.338
11/03/2021,1,1.339
12/03/2021,1,1.339
13/03/2021,1,1.34
14/03/2021,1,1.34
15/03/2021,1,1.341
16/03/2021,1,1.342
17/03/2021,1,1.342
18/03/2021,1,1.343
19/03/2021,1,1.344
20/03/2021,1,1.344
21/03/2021,1,1.345
22/03/2021,1,1.345
23/03/2021,1,1.346
24/03/2021,1,1.347
25/03/2021,1,1.347
26/03/2021,1,1.348
27/03/2021,1,1.348
28/03/2021,1,1.349
29/03/2021,1,1.35
30/03/2021,1,1.35
01/04/2021,1,1.297
02/04/2021,1,1.298
03/04/2021,1,1.299
04/04/2021,1,1.298
05/04/2021,1,1.299
06/04/2021,1,1.297
07/04/2021,1,1.299
08/04/2021,1,1.304
09/04/2021,1,1.302
10/04/2021,1,1.302
11/04/2021,1,1.303
12/04/2021,1,1.303
13/04/2021,1,1.304
14/04/2021,1,1.305
15/04/2021,1,1.305
16/04/2021,1,1.306
17/04/2021,1,1.306
18/04/2021,1,1.307
19/04/2021,1,1.308
20/04/2021,1,1.308
21/04/2021,1,1.309
22/04/2021,1,1.31
23/04/2021,1,1.31
24/04/2021,1,1.311
25/04/2021,1,1.311
26/04/2021,1,1.312
27/04/2021,1,1.313
28/04/2021,1,1.313
29/04/2021,1,1.314
30/04/2021,1,1.314
01/05/2021,1,1.315
02/05/2021,1,1.316
03/05/2021,1,1.316
04/05/2021,1,1.317
05/05/2021,1,1.317
06/05/2021,1,1.318
07/05/2021,1,1.319
08/05/2021,1,1.319
09/05/2021,1,1.32
10/05/2021,1,1.32
11/05/2021,1,1.321
12/05/2021,1,1.322
13/05/2021,1,1.322
14/05/2021,1,1.323
15/05/2021,1,1.323
16/05/2021,1,1.324
17/05/2021,1,1.325
18/05/2021,1,1.325
19/05/2021,1,1.326
20/05/2021,1,1.327
21/05/2021,1,1.327
22/05/2021,1,1.328
23/05/2021,1,1.328
24/05/2021,1,1.329
25/05/2021,1,1.33
26/05/2021,1,1.33
27/05/2021,1,1.331
28/05/2021,1,1.331
29/05/2021,1,1.332
30/05/2021,1,1.333
31/05/2021,1,1.333
01/06/2021,1,1.334
02/06/2021,1,1.334
03/06/2021,1,1.335
04/06/2021,1,1.336
05/06/2021,1,1.336
06/06/2021,1,1.337
07/06/2021,1,1.337
08/06/2021,1,1.338
09/06/2021,1,1.339
10/06/2021,1,1.339
11/06/2021,1,1.34
12/06/2021,1,1.34
13/06/2021,1,1.341
14/06/2021,1,1.342
15/06/2021,1,1.342
16/06/2021,1,1.343
17/06/2021,1,1.344
18/06/2021,1,1.344
19/06/2021,1,1.345
20/06/2021,1,1.345
21/06/2021,1,1.346
22/06/2021,1,1.347
23/06/2021,1,1.347
24/06/2021,1,1.348
25/06/2021,1,1.348
26/06/2021,1,1.349
27/06/2021,1,1.35
28/06/2021,1,1.35
29/06/2021,1,1.351
30/06/2021,1,1.351
01/07/2021,1,1.338
02/07/2021,1,1.338
03/07/2021,1,1.338
04/07/2021,1,1.338
05/07/2021,1,1.339
06/07/2021,1,1.339
07/07/2021,1,1.339
08/07/2021,1,1.339
09/07/2021,1,1.339
10/07/2021,1,1.339
11/07/2021,1,1.34
12/07/2021,1,1.34
13/07/2021,1,1.34
14/07/2021,1,1.34
15/07/2021,1,1.34
16/07/2021,1,1.34
17/07/2021,1,1.341
18/07/2021,1,1.341
19/07/2021,1,1.341
20/07/2021,1,1.341
21/07/2021,1,1.341
22/07/2021,1,1.341
23/07/2021,1,1.341
24/07/2021,1,1.342
25/07/2021,1,1.342
26/07/2021,1,1.342
27/07/2021,1,1.342
28/07/2021,1,1.342
29/07/2021,1,1.342
30/07/2021,1,1.343
31/07/2021,1,1.343
01/08/2021,1,1.343
02/08/2021,1,1.343
03/08/2021,1,1.343
04/08/2021,1,1.343
05/08/2021,1,1.343
06/08/2021,1,1.344
07/08/2021,1,1.344
08/08/2021,1,1.344
09/08/2021,1,1.344
10/08/2021,1,1.344
11/08/2021,1,1.344
12/08/2021,1,1.345
13/08/2021,1,1.345
14/08/2021,1,1.345
15/08/2021,1,1.345
16/08/2021,1,1.345
17/08/2021,1,1.345
18/08/2021,1,1.346
19/08/2021,1,1.346
20/08/2021,1,1.346
21/08/2021,1,1.346
22/08/2021,1,1.346
23/08/2021,1,1.346
24/08/2021,1,1.346
25/08/2021,1,1.347
26/08/2021,1,1.347
27/08/2021,1,1.347
28/08/2021,1,1.347
29/08/2021,1,1.347
30/08/2021,1,1.347
31/08/2021,1,1.348
01/09/2021,1,1.348
02/09/2021,1,1.348
03/09/2021,1,1.348
04/09/2021,1,1.348
05/09/2021,1,1.348
06/09/2021,1,1.349
07/09/2021,1,1.349
08/09/2021,1,1.349
09/09/2021,1,1.349
